LAST SEEN   TYPE      REASON                  OBJECT                                        MESSAGE
55m         Normal    Created                 pod/slack-bot-5c5bff4bc5-67p9t                Created container: bot
55m         Normal    SuccessfulCreate        replicaset/slack-bot-5c5bff4bc5               Created pod: slack-bot-5c5bff4bc5-8kk8t
55m         Normal    Killing                 pod/slack-bot-5c5bff4bc5-67p9t                Stopping container bot
55m         Normal    EventFiring             hook/agent-self-heal                          Event pod-restart fired for resource slack-bot-5c5bff4bc5-8kk8t, calling agent commander-agent
54m         Normal    Started                 pod/slack-bot-5c5bff4bc5-8kk8t                Started container bot
54m         Normal    Created                 pod/slack-bot-5c5bff4bc5-8kk8t                Created container: bot
54m         Normal    Pulled                  pod/slack-bot-5c5bff4bc5-8kk8t                Container image "docker.io/python:3.12-slim" already present on machine
54m         Normal    EventFiring             hook/agent-registry-sync                      Event pod-restart fired for resource slack-bot-5c5bff4bc5-8kk8t, calling agent commander-agent
54m         Warning   AgentCallFailure        hook/agent-registry-sync                      Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-8kk8t: failed to create session: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/sessions?user_id=admin%40kagent.dev": context canceled
54m         Warning   AgentCallFailure        hook/agent-self-heal                          Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-8kk8t: failed to send A2A message: a2aClient.SendMessage: a2aClient.doRequest: http request failed: a2aClient.httpRequestHandler: http request failed: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/a2a/kagent/commander-agent/": context canceled
53m         Warning   BackOff                 pod/slack-bot-5c5bff4bc5-8kk8t                Back-off restarting failed container bot in pod slack-bot-5c5bff4bc5-8kk8t_kagent(107cc3be-2347-42a3-9459-84f512ee2f5c)
53m         Normal    Pulled                  pod/slack-bot-5c5bff4bc5-d24n4                Container image "docker.io/python:3.12-slim" already present on machine
53m         Normal    SuccessfulCreate        replicaset/slack-bot-5c5bff4bc5               Created pod: slack-bot-5c5bff4bc5-d24n4
53m         Normal    Created                 pod/slack-bot-5c5bff4bc5-d24n4                Created container: bot
53m         Normal    Started                 pod/slack-bot-5c5bff4bc5-d24n4                Started container bot
49m         Normal    DuplicateEventIgnored   hook/agent-self-heal                          Duplicate event pod-restart ignored for resource slack-bot-b47656fd9-cxqmk (within deduplication window)
48m         Normal    Pulled                  pod/slack-bot-5c5bff4bc5-7p5xc                Container image "docker.io/python:3.12-slim" already present on machine
48m         Normal    Killing                 pod/slack-bot-5c5bff4bc5-d24n4                Stopping container bot
48m         Normal    SuccessfulCreate        replicaset/slack-bot-5c5bff4bc5               Created pod: slack-bot-5c5bff4bc5-7p5xc
